accel_time_list,accel_x_list,accel_y_list,accel_z_list
4.001,-6.7,-6.0,4.7
4.007,-6.5,-5.1,4.4
4.009,-6.8,-5.7,4.4
4.125,-7.1,-5.2,4.4
4.127,-7.0,-5.4,4.5
4.13,-7.0,-5.0,4.2
4.131,-7.1,-5.3,4.2
4.201,-7.2,-5.3,4.2
4.203,-6.7,-5.1,4.1
4.214,-7.3,-5.2,4.0
4.223,-6.7,-5.1,3.7
4.225,-7.0,-5.7,4.1
4.227,-7.4,-6.2,3.6
4.299,-7.1,-5.7,3.6
4.3,-7.2,-5.9,3.2
4.399,-7.0,-5.8,3.2
4.401,-7.0,-6.1,3.4
4.41,-6.8,-5.8,3.3
4.412,-6.9,-6.0,3.5
4.499,-6.9,-5.8,3.7
4.501,-6.8,-5.8,3.6
4.504,-7.0,-5.8,3.4
4.505,-6.8,-5.7,3.3
4.599,-6.6,-5.9,3.3
4.609,-6.8,-5.9,3.2
4.612,-7.0,-5.9,2.9
4.614,-7.0,-5.5,4.1
4.698,-7.3,-5.5,3.2
4.7,-7.2,-5.3,3.0
4.703,-7.3,-6.2,2.6
4.705,-7.2,-6.4,2.7
4.799,-7.6,-6.1,2.7
4.8,-7.9,-5.9,2.4
4.804,-7.1,-5.7,3.1
4.805,-8.0,-5.1,4.4
4.899,-8.6,-5.2,6.2
4.901,-9.0,-3.2,8.6
4.904,-10.0,-0.3,10.6
4.906,-10.8,-0.6,9.7
4.999,-11.7,-3.0,8.6
5.0,-9.7,-6.8,8.8
5.007,-6.4,-7.9,10.4
5.009,-4.7,-8.3,9.1
5.099,-2.8,-8.0,6.8
5.1,-0.7,-8.1,4.8
5.104,1.5,-8.6,0.7
5.105,2.5,-8.1,-1.6
5.199,2.7,-6.7,-3.2
5.2,2.6,-5.9,-3.1
5.204,0.7,1.8,-3.4
5.205,-0.7,-1.2,-0.3
5.299,-1.2,-4.0,-14.1
5.3,-6.7,-24.0,-10.9
5.304,-12.3,29.8,39.2
5.313,-38.9,-10.6,7.6
5.399,-18.8,19.1,-15.6
5.4,3.7,-24.4,9.3
5.406,7.3,-19.6,12.5
5.411,7.6,-0.8,-11.3
5.499,10.1,4.1,-13.2
5.506,3.4,-7.5,-0.1
5.509,-1.9,-4.6,22.9
5.511,1.2,-4.5,14.0
5.636,-2.0,-4.5,7.1
5.637,-4.2,-3.9,2.2
5.641,-5.4,-6.8,5.9
5.699,-3.1,-7.1,7.5
5.7,-1.3,-6.3,7.7
5.702,-0.8,-6.4,7.4
5.718,-0.7,-6.2,6.8
5.799,1.5,-4.7,7.7
5.805,3.4,-3.8,8.6
5.806,1.3,-3.2,9.2
5.809,0.8,-4.2,9.4
5.899,0.1,-5.1,9.7
5.9,-0.5,-5.2,10.3
5.902,0.3,-4.7,9.8
5.909,0.9,-4.1,9.4
6.0,0.7,-4.2,8.6
6.001,0.3,-4.2,7.6
6.011,-0.3,-5.0,6.8
6.014,-0.6,-6.7,6.9
6.103,-0.3,-6.8,7.1
6.105,-0.4,-6.8,7.4
6.106,-0.6,-5.8,8.1
6.118,-0.3,-5.1,9.4
6.198,-0.4,-5.0,9.1
6.2,-0.2,-5.3,8.8
6.202,0.0,-5.8,8.1
6.208,-0.0,-5.9,7.6
6.298,0.0,-5.7,7.5
6.302,0.2,-5.5,7.6
6.303,0.3,-5.3,8.0
6.312,0.3,-4.6,8.6
6.398,0.1,-4.9,8.8
6.399,0.1,-5.3,8.6
6.401,-0.1,-5.6,8.3
6.409,-0.4,-5.5,8.2
6.499,-0.3,-5.6,8.1
6.502,-0.3,-5.7,8.0
6.512,-0.2,-5.8,7.9
6.515,-0.0,-5.8,7.9
6.622,0.0,-5.7,8.0
6.624,0.1,-5.7,8.1
6.625,0.0,-5.6,8.2
6.629,0.0,-5.2,8.6
6.698,-0.1,-5.2,8.6
6.7,-0.1,-5.4,8.3
6.702,-0.0,-5.5,8.1
6.709,-0.0,-5.5,7.9
6.798,-0.0,-5.6,8.0
6.807,0.0,-5.7,7.9
6.808,0.0,-5.6,8.0
6.815,-0.1,-5.6,8.3
6.907,-0.1,-5.5,8.4
6.918,-0.1,-5.5,8.3
6.92,-0.1,-5.5,8.3
6.923,-0.1,-5.3,8.2
