accel_time_list,accel_x_list,accel_y_list,accel_z_list
3.425,-5.1,-7.1,4.4
3.428,-5.2,-7.2,4.3
3.449,-5.2,-7.1,4.2
3.452,-5.1,-7.0,4.2
3.528,-5.1,-7.0,4.1
3.533,-5.0,-7.1,4.2
3.534,-4.9,-7.2,4.1
3.537,-4.8,-7.4,4.1
3.625,-4.8,-7.4,4.1
3.628,-4.8,-7.4,4.0
3.63,-5.0,-7.4,4.0
3.635,-5.0,-7.2,4.0
3.726,-5.1,-7.2,4.1
3.73,-5.1,-7.3,4.3
3.732,-4.9,-7.5,4.2
3.734,-4.8,-7.5,4.1
3.825,-4.9,-7.2,4.1
3.839,-4.7,-7.1,3.9
3.841,-4.8,-7.2,3.9
3.843,-4.8,-7.4,4.0
3.927,-4.8,-7.5,4.1
3.93,-4.8,-7.3,4.0
3.938,-4.7,-7.2,4.0
3.94,-4.7,-7.3,3.8
4.025,-4.7,-7.4,3.7
4.031,-4.9,-7.5,4.6
4.033,-5.0,-7.4,6.4
4.035,-5.2,-6.6,7.3
4.124,-5.3,-4.9,7.8
4.128,-4.9,-1.9,9.1
4.129,-4.5,-2.3,8.5
4.225,-4.2,-3.2,6.6
4.227,-3.9,-4.3,6.6
4.238,-5.1,-4.2,6.5
4.24,-5.7,-6.2,4.7
4.325,-6.3,-7.8,4.1
4.327,-5.9,-8.1,4.4
4.33,-5.5,-4.4,5.0
4.331,-5.0,-3.3,5.2
4.425,-5.0,-3.1,4.3
4.426,-5.2,-2.2,3.3
4.435,-4.1,0.1,2.5
4.437,-3.9,1.0,1.8
4.525,-5.1,1.1,2.0
4.527,-7.3,0.0,2.5
4.53,-6.8,-3.4,3.3
4.532,-4.9,-4.2,5.5
4.625,-3.4,-5.7,6.6
4.635,-3.1,-8.0,5.9
4.638,-6.9,-5.6,1.8
4.64,-8.3,-7.9,3.3
4.725,-8.2,-18.6,-7.1
4.727,-7.5,-28.2,-8.4
4.734,-4.6,2.5,-29.3
4.735,-0.0,-23.9,-35.8
4.825,-10.0,-3.7,0.5
4.826,-15.2,-17.1,-10.6
4.83,8.1,-17.4,7.8
4.831,10.2,-7.4,3.3
4.925,14.7,5.1,-9.1
4.926,15.0,5.0,-12.9
4.93,-3.1,-2.2,-6.9
4.931,0.6,-2.1,-7.3
5.025,3.7,-10.5,-1.8
5.027,5.5,-15.2,-1.9
5.046,0.6,-1.0,-7.3
5.048,4.5,10.9,-11.2
5.126,9.6,16.5,-17.6
5.131,-4.9,24.4,-14.5
5.134,4.1,-1.3,-8.6
5.17,0.2,0.8,-4.7
5.225,1.9,6.7,-15.4
5.226,-5.8,8.4,-1.2
5.235,-1.1,5.5,-6.3
5.237,1.8,6.1,-2.8
5.325,1.3,6.6,-3.8
5.326,-1.0,4.4,-12.1
5.33,-1.8,5.3,-12.7
5.349,-0.5,5.3,-14.3
5.425,1.0,3.7,-11.2
5.426,1.2,3.7,-9.4
5.43,-0.3,0.4,-5.9
5.431,0.5,0.5,-7.5
5.525,2.7,2.2,-7.0
5.526,3.2,4.2,-7.2
5.53,0.9,3.1,-11.7
5.531,0.6,3.0,-10.8
5.625,1.0,2.7,-9.5
5.626,0.9,2.2,-8.8
5.643,-0.1,0.9,-8.0
5.645,-0.9,0.2,-9.1
5.725,-1.2,0.1,-11.2
5.726,0.9,1.1,-11.4
5.738,1.3,1.0,-10.1
5.739,1.4,0.7,-9.5
5.824,1.4,0.9,-9.4
5.829,1.2,1.1,-9.3
5.832,0.9,1.5,-9.9
5.925,0.7,1.7,-10.1
5.926,0.5,1.6,-10.0
5.928,0.5,1.1,-10.0
5.934,0.8,1.2,-9.5
6.026,1.0,1.5,-9.3
6.028,0.9,1.6,-9.6
6.029,0.6,1.1,-10.1
6.032,1.2,1.6,-10.0
6.124,0.8,1.8,-10.0
6.163,0.7,2.2,-9.9
6.164,0.8,2.4,-8.6
6.178,0.3,3.3,-8.5
6.264,-0.4,2.7,-9.0
6.271,-0.7,1.8,-9.8
6.28,0.3,1.1,-10.5
6.283,1.0,1.1,-10.0
6.346,1.4,0.3,-9.7
6.348,1.2,-0.0,-9.4
6.35,1.3,-0.0,-9.3
6.357,1.4,0.4,-9.8
